bloque;pregunta;tipo_pregunta;llaves;tema;respuestas
Bloque 1: Problemáticas sociales;Aparte de la inseguridad, ¿cuál diría usted que es el problema más importante que enfrenta Chiapas hoy en día?;multiples;problema_masimportante;NA;
Bloque 1: Problemáticas sociales;Otro;abiertas;problema_masimportante_otro;NA;
Bloque 1: Problemáticas sociales;Y hablando específicamente del problema de la inseguridad, ¿cuál considera que es el delito que se comete con mayor frecuencia aquí en su municipio?;multiples;delito_masfrecuente;NA;
Bloque 1: Problemáticas sociales;Otro;abiertas;delito_masfrecuente_otro;NA;
Bloque 2: Evaluación de autoridades;En una escala del 0 al 10, donde 0 significa que lo hace muy mal y 10 muy bien, ¿qué calificación le daría al trabajo de Andrés Manuel López Obrador como presidente de la República;numericas;evaluacion_amlo;NA;
Bloque 2: Evaluación de autoridades;Y con la misma escala del 0 al 10,  ¿qué calificación le daría al trabajo del gobernador del estado Rutilio Escandón Cadenas?;numericas;evaluacion_rutilio;NA;
Bloque 4: Intención de voto hacia la Gubernatura de Chiapas 2024;Si el día de hoy fueran las elecciones para elegir al próximo Gobernador o Gobernadora de Chiapas, ¿por cuál partido votaría?;multiples;voto_partido;NA;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_era;Eduardo Ramírez Aguilar;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_sasil;Sasil de León;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_jaac;José Antonio Aguilar Castillejos, “Jaac”;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_placido;Plácido Morales Vázquez;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_rosa;Rosa Irene Urbina Castañeda;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_pepe;Pepe Cruz;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_manuelita;Manuela Obrador Narváez;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_carlos;Carlos Morales;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_marden;Marden Camacho;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_albores;Roberto Albores Gleason;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_armando;Luis Armando Melgar Bravo;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_elena;María Elena Orantes;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_patricia;Patricia Armendáriz;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_joaquin;Joaquín Zebadúa;
Bloque 4: Intención de voto hacia la Gubernatura de Chiapas 2024;Si el día de hoy fueran las elecciones para elegir al próximo Gobernador o Gobernadora de Chiapas, ¿por cuál candidato o candidata votaría?;multiples;voto_candidato;NA;
Bloque 4: Intención de voto hacia la Gubernatura de Chiapas 2024;Otro;abiertas;voto_candidato_otro;NA;
Bloque 4: Intención de voto hacia la Gubernatura de Chiapas 2024;¿Está totalmente seguro(a) de que votará por la misma opción que acaba de elegir o podría cambiar su voto?;multiples;seg_voto;NA;
Bloque 4: Intención de voto hacia la Gubernatura de Chiapas 2025;Si el candidato o candidata que usted prefiere NO TUVIERA POSIBILIDADES DE GANAR, ¿cuál sería su SEGUNDA OPCIÓN de voto para Gobernador o Gobernadora de Chiapas?;multiples;voto_candidato_segunda;NA;
Bloque 4: Intención de voto hacia la Gubernatura de Chiapas 2024;Otro;abiertas;voto_candidato_segunda_otro;NA;
Bloque 4: Intención de voto hacia la Gubernatura de Chiapas 2026;Ahora dígame, ¿por cuál candidato o candidata usted NUNCA votaría para Gobernador o Gobernadora de Chiapas?;multiples;voto_candidato_nunca;NA;
Bloque 4: Intención de voto hacia la Gubernatura de Chiapas 2024;Otro;abiertas;voto_candidato_nunca_otro;NA;
Bloque 4: Intención de voto hacia la Gubernatura de Chiapas 2026;A continuación, le diré un posible escenario para las elecciones estatales del 2024, ¿usted por cuál candidato votaría para Gobernador de Chiapas?;multiples;voto_careo;NA;
Bloque 4: Intención de voto hacia la Gubernatura de Chiapas 2024;Otro;abiertas;voto_careo_otro;NA;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2024;¿Con qué partido político relaciona a (…) ?;multiples;partido_era;Eduardo Ramírez Aguilar;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2025;¿Con qué partido político relaciona a (…) ?;multiples;partido_sasil;Sasil de León;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2026;¿Con qué partido político relaciona a (…) ?;multiples;partido_jaac;José Antonio Aguilar Castillejos, “Jaac”;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2027;¿Con qué partido político relaciona a (…) ?;multiples;partido_manuelita;Manuela Obrador Narváez;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2028;¿Con qué partido político relaciona a (…) ?;multiples;partido_carlos;Carlos Morales;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2029;¿Con qué partido político relaciona a (…) ?;multiples;partido_patricia;Patricia Armendáriz;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2030;¿Cuál es su opinión sobre esa persona, buena o mala?;multiples;opinion_era;Eduardo Ramírez Aguilar;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2031;¿Cuál es su opinión sobre esa persona, buena o mala?;multiples;opinion_sasil;Sasil de León;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2032;¿Cuál es su opinión sobre esa persona, buena o mala?;multiples;opinion_jaac;José Antonio Aguilar Castillejos, “Jaac”;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2033;¿Cuál es su opinión sobre esa persona, buena o mala?;multiples;opinion_manuelita;Manuela Obrador Narváez;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2034;¿Cuál es su opinión sobre esa persona, buena o mala?;multiples;opinion_carlos;Carlos Morales;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2035;¿Cuál es su opinión sobre esa persona, buena o mala?;multiples;opinion_patricia;Patricia Armendáriz;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2036;¿Qué tan honesto considera a (…) ?;multiples;honesto_era;Eduardo Ramírez Aguilar;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2037;¿Qué tan honesto considera a (…) ?;multiples;honesto_sasil;Sasil de León;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2038;¿Qué tan honesto considera a (…) ?;multiples;honesto_jaac;José Antonio Aguilar Castillejos, “Jaac”;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2039;¿Qué tan honesto considera a (…) ?;multiples;honesto_manuelita;Manuela Obrador Narváez;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2040;¿Qué tan honesto considera a (…) ?;multiples;honesto_carlos;Carlos Morales;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2041;¿Qué tan honesto considera a (…) ?;multiples;honesto_patricia;Patricia Armendáriz;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2042;¿Qué tanto considera usted que (…) respeta el derecho a las mujeres a una vida libre de violencia?;multiples;mujeres_era;Eduardo Ramírez Aguilar;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2043;¿Qué tanto considera usted que (…) respeta el derecho a las mujeres a una vida libre de violencia?;multiples;mujeres_sasil;Sasil de León;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2044;¿Qué tanto considera usted que (…) respeta el derecho a las mujeres a una vida libre de violencia?;multiples;mujeres_jaac;José Antonio Aguilar Castillejos, “Jaac”;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2045;¿Qué tanto considera usted que (…) respeta el derecho a las mujeres a una vida libre de violencia?;multiples;mujeres_manuelita;Manuela Obrador Narváez;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2046;¿Qué tanto considera usted que (…) respeta el derecho a las mujeres a una vida libre de violencia?;multiples;mujeres_carlos;Carlos Morales;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2047;¿Qué tanto considera usted que (…) respeta el derecho a las mujeres a una vida libre de violencia?;multiples;mujeres_patricia;Patricia Armendáriz;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2048;¿Qué tan cercano/a a la gente considera a (…) ?;multiples;cercano_era;Eduardo Ramírez Aguilar;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2049;¿Qué tan cercano/a a la gente considera a (…) ?;multiples;cercano_sasil;Sasil de León;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2050;¿Qué tan cercano/a a la gente considera a (…) ?;multiples;cercano_jaac;José Antonio Aguilar Castillejos, “Jaac”;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2051;¿Qué tan cercano/a a la gente considera a (…) ?;multiples;cercano_manuelita;Manuela Obrador Narváez;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2052;¿Qué tan cercano/a a la gente considera a (…) ?;multiples;cercano_carlos;Carlos Morales;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2053;¿Qué tan cercano/a a la gente considera a (…) ?;multiples;cercano_patricia;Patricia Armendáriz;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2054;¿Qué tanto considera que (…) conoce su Estado?;multiples;estado_era;Eduardo Ramírez Aguilar;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2055;¿Qué tanto considera que (…) conoce su Estado?;multiples;estado_sasil;Sasil de León;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2056;¿Qué tanto considera que (…) conoce su Estado?;multiples;estado_jaac;José Antonio Aguilar Castillejos, “Jaac”;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2057;¿Qué tanto considera que (…) conoce su Estado?;multiples;estado_manuelita;Manuela Obrador Narváez;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2058;¿Qué tanto considera que (…) conoce su Estado?;multiples;estado_carlos;Carlos Morales;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2059;¿Qué tanto considera que (…) conoce su Estado?;multiples;estado_patricia;Patricia Armendáriz;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2060;¿Qué tanto considera que (…) cumple lo que dice?;multiples;cumple_era;Eduardo Ramírez Aguilar;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2061;¿Qué tanto considera que (…) cumple lo que dice?;multiples;cumple_sasil;Sasil de León;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2062;¿Qué tanto considera que (…) cumple lo que dice?;multiples;cumple_jaac;José Antonio Aguilar Castillejos, “Jaac”;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2063;¿Qué tanto considera que (…) cumple lo que dice?;multiples;cumple_manuelita;Manuela Obrador Narváez;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2064;¿Qué tanto considera que (…) cumple lo que dice?;multiples;cumple_carlos;Carlos Morales;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2065;¿Qué tanto considera que (…) cumple lo que dice?;multiples;cumple_patricia;Patricia Armendáriz;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2066;¿Lo/la considera buen candidato/a?;multiples;buencandidato_era;Eduardo Ramírez Aguilar;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2067;¿Lo/la considera buen candidato/a?;multiples;buencandidato_sasil;Sasil de León;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2068;¿Lo/la considera buen candidato/a?;multiples;buencandidato_jaac;José Antonio Aguilar Castillejos, “Jaac”;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2069;¿Lo/la considera buen candidato/a?;multiples;buencandidato_manuelita;Manuela Obrador Narváez;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2070;¿Lo/la considera buen candidato/a?;multiples;buencandidato_carlos;Carlos Morales;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2071;¿Lo/la considera buen candidato/a?;multiples;buencandidato_patricia;Patricia Armendáriz;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2072;Ahora por favor dígame, ¿usted votaría o nunca votaría para Gobernador/a del estado de Chiapas por (…) ?;multiples;votaria_era;Eduardo Ramírez Aguilar;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2073;Ahora por favor dígame, ¿usted votaría o nunca votaría para Gobernador/a del estado de Chiapas por (…) ?;multiples;votaria_sasil;Sasil de León;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2074;Ahora por favor dígame, ¿usted votaría o nunca votaría para Gobernador/a del estado de Chiapas por (…) ?;multiples;votaria_jaac;José Antonio Aguilar Castillejos, “Jaac”;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2075;Ahora por favor dígame, ¿usted votaría o nunca votaría para Gobernador/a del estado de Chiapas por (…) ?;multiples;votaria_manuelita;Manuela Obrador Narváez;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2076;Ahora por favor dígame, ¿usted votaría o nunca votaría para Gobernador/a del estado de Chiapas por (…) ?;multiples;votaria_carlos;Carlos Morales;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2077;Ahora por favor dígame, ¿usted votaría o nunca votaría para Gobernador/a del estado de Chiapas por (…) ?;multiples;votaria_patricia;Patricia Armendáriz;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2078;En los próximos días MORENA va a elegir a su candidato o candidata a Gobernador o Gobernadora del estado de Chiapas. De la siguiente lista, ¿usted a quién prefiere como candidato o candidata de MORENA?;multiples;candidato_preferencia;NA;
Bloque 5: Metodología de MORENA para la Gubernatura de Chiapas 2078;Otro;abiertas;candidato_preferencia_otro;NA;
Bloque 6: Aspirantes de MORENA a la Presidencia de la República 2024;¿Usted conoce o había escuchado hablar de (…) ?;multiples;conocimiento_sheinbaum;Claudia Sheinbaum Pardo;
Bloque 6: Aspirantes de MORENA a la Presidencia de la República 2025;¿Usted conoce o había escuchado hablar de (…) ?;multiples;conocimiento_ebrad;Marcelo Ebrard Casaubón;
Bloque 6: Aspirantes de MORENA a la Presidencia de la República 2026;¿Usted conoce o había escuchado hablar de (…) ?;multiples;conocimiento_monreal;Ricardo Monreal Ávila;
Bloque 6: Aspirantes de MORENA a la Presidencia de la República 2027;¿Usted conoce o había escuchado hablar de (…) ?;multiples;conocimiento_adan;Adán Augusto López Hernández;
Bloque 6: Aspirantes de MORENA a la Presidencia de la República 2028;¿Usted conoce o había escuchado hablar de (…) ?;multiples;conocimiento_norona;Gerardo Fernández Noroña;
Bloque 6: Aspirantes de MORENA a la Presidencia de la República 2029;¿Usted conoce o había escuchado hablar de (…) ?;multiples;conocimiento_velasco;Manuel Velasco Coello;
Bloque 6: Aspirantes de MORENA a la Presidencia de la República 2030;¿Y qué opinión tiene de (…) ?;multiples;opinion_sheinbaum;Claudia Sheinbaum Pardo;
Bloque 6: Aspirantes de MORENA a la Presidencia de la República 2031;¿Y qué opinión tiene de (…) ?;multiples;opinion_ebrad;Marcelo Ebrard Casaubón;
Bloque 6: Aspirantes de MORENA a la Presidencia de la República 2032;¿Y qué opinión tiene de (…) ?;multiples;opinion_monreal;Ricardo Monreal Ávila;
Bloque 6: Aspirantes de MORENA a la Presidencia de la República 2033;¿Y qué opinión tiene de (…) ?;multiples;opinion_adan;Adán Augusto López Hernández;
Bloque 6: Aspirantes de MORENA a la Presidencia de la República 2034;¿Y qué opinión tiene de (…) ?;multiples;opinion_norona;Gerardo Fernández Noroña;
Bloque 6: Aspirantes de MORENA a la Presidencia de la República 2035;¿Y qué opinión tiene de (…) ?;multiples;opinion_velasco;Manuel Velasco Coello;
Bloque 6: Aspirantes de MORENA a la Presidencia de la República 2036;Y de las siguientes personas, ¿a quién prefiere como candidato o candidata de MORENA para la Presidencia de la República 2024?;multiples;preferencia_candidatopresidencia;NA;
Bloque 6: Aspirantes de MORENA a la Presidencia de la República 2036;Si el candidato o candidata que usted prefiere NO TUVIERA POSIBILIDADES DE GANAR, ¿cuál sería su SEGUNDA OPCIÓN como representante de MORENA a la Presidencia de la República 2024?;multiples;preferencia_candidatopresidencia_segunda;NA;
Bloque 7: Intención de voto para el Senado;Ahora por favor dígame, si el día de hoy fueran las elecciones para elegir al Senado de la República por Chiapas, ¿por cuál candidata votaría usted?;multiples;preferencia_candidatasenado;NA;
Bloque 7: Intención de voto para el Senado;Otro;abiertas;preferencia_candidatasenado_otro;NA;
Bloque 7: Intención de voto para el Senado;Si el día de hoy fueran las elecciones para elegir al Senado de la República por Chiapas, ¿por cuál candidato votaría usted?;multiples;preferencia_candidatosenado;NA;
Bloque 7: Intención de voto para el Senado;Otro;abiertas;preferencia_candidatosenado_otro;NA;
Bloque 7: Intención de voto para el Senado;Si el día de hoy fueran las elecciones para elegir al Senado de la República por Chiapas, ¿por cuál candidato o candidata votaría usted?;multiples;preferencia_candidatxsenado;NA;
Bloque 7: Intención de voto para el Senado;Otro;abiertas;preferencia_candidatxsenado_otro;NA;
Bloque 6: Aspirantes de MORENA a la Presidencia de la República 2036;En los próximos días MORENA va a elegir a su candidato o candidata a la Presidencia de la República 2024. De la siguiente lista, ¿usted a quién prefiere como candidato o candidata de MORENA?;multiples;boleta;NA;
Bloque 8: Datos sociodemográficos;¿Usted o alguien en su hogar habla un dialecto o lengua indígena?;multiples;persona_lenguaindigena;NA;
Bloque 8: Datos sociodemográficos;¿Qué dialecto o lengua habla?;multiples;lengua_indigena;NA;
Bloque 8: Datos sociodemográficos;¿Cuál es su estado civil?;multiples;estado_civil;NA;
Bloque 8: Datos sociodemográficos;¿Cuál es su último grado de estudios concluido?;multiples;grado_estudios;NA;
Bloque 8: Datos sociodemográficos;¿Cuál es su principal ocupación?;multiples;principal_ocupacion;NA;
Bloque 8: Datos sociodemográficos;¿Cuánto gana usted por este trabajo al mes?;multiples;sueldo_aprox;NA;
Bloque 8: Datos sociodemográficos;Pensando en el jefe o jefa del hogar, ¿cuál fue el último grado de estudios que aprobó en la escuela?;multiples;amai_estudios;NA;
Bloque 8: Datos sociodemográficos;¿Cuántos baños completos con regadera y W.C. (excusado) hay en esta vivienda?;multiples;amai_banos;NA;
Bloque 8: Datos sociodemográficos;¿Cuántos automóviles o camionetas tienen en su hogar, incluyendo camionetas cerradas, o con cabinas o caja?;multiples;amai_automoviles;NA;
Bloque 8: Datos sociodemográficos;Sin tomar en cuenta la conexión móvil que pudiera tener desde algún celular ¿este hogar cuenta con internet?;multiples;amai_internet;NA;
Bloque 8: Datos sociodemográficos;De todas las personas de más de 14 años que viven en el hogar, ¿cuántas trabajaron en el último mes?;multiples;amai_personastrabajaron;NA;
Bloque 8: Datos sociodemográficos;En esta vivienda, ¿cuántos cuartos se usan para dormir, sin contar pasillos ni baños?;multiples;amai_dormitorios;NA;
Bloque 8: Datos sociodemográficos;Por último, le comento que mi supervisor corrobora mi trabajo a través de una llamada telefónica. ¿De favor, me podría proporcionar su número celular?;multiples;recibir_num;NA;
Bloque 8: Datos sociodemográficos;Por favor, me dicta su número;abiertas;numero;NA;
Bloque 8: Datos sociodemográficos;Con el mismo objetivo de verificar mi trabajo me solicitan su nombre, ¿me podría proporcionar su nombre?;multiples;recibir_nombre;NA;
Bloque 8: Datos sociodemográficos;Nombre(s);abiertas;recibir_nombre_nombres;NA;
Bloque 8: Datos sociodemográficos;Apellido paterno;abiertas;recibir_nombre_nombres;NA;
Bloque 8: Datos sociodemográficos;Apellido materno;abiertas;recibir_nombre_nombres;NA;
