zoe,melgar,carlos,brito,sasil,era,claudia,marcelo,monreal
,,MORENA,,,,MORENA,MORENA,
,,,,,,,Ns/Nc,
,,,,,,,,
,,MORENA,,,MORENA,MORENA,MORENA,MORENA
,,MORENA,,,,,,
,,MORENA,,,,,,
,,MORENA,,,,,,
,,,,,,,,
,,,,,PVEM,,MORENA,
MORENA,,MORENA,,,,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,PRI,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,PVEM,,,
,,,,,,,,
,,,,,,,PAN,
,,,,,,,PRI,
,,,,,,,,
,,MORENA,,,,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Ns/Nc,,,
,,,,MORENA,,,MORENA,MORENA
,,,,,MORENA,,,
,,,,,,,PRI,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,PVEM,,,
,,,,,,,,
,,,,,,,MORENA,
,,,,PES,PVEM,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PVEM,,,,,,,,
,,,,,,,,
,,,,,,,,
PRI,,,,,PRI,,PRI,
,,,,,,,,
,,MORENA,,,,,,
,,,,,,,,
,,MORENA,,,PVEM,,,
,,,,,,,,
PT,PAN,PRI,PRI,MORENA,PVEM,MORENA,MORENA,PRD
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,MORENA,
MORENA,,MORENA,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,PVEM,,,
,,Ns/Nc,PRD,,,MORENA,Ns/Nc,
,,,,,,,,
,,,,,,,MORENA,
,,,,,,,,
PVEM,,MORENA,,PVEM,PRI,MORENA,MORENA,MORENA
,,MORENA,MORENA,MORENA,PVEM,MORENA,MORENA,
PRI,,,,,,,MORENA,
,,PRI,,,PRD,PAN,PAN,
MORENA,,PRD,,PRI,,MORENA,MORENA,
,,MORENA,,,,,MORENA,
,,,,,,,,
MORENA,PRI,PRD,PVEM,PVEM,PVEM,MORENA,PRD,MORENA
,,,,,,,,
MORENA,,MORENA,,,PVEM,,MORENA,
,,,,,,,,
PRI,PVEM,MORENA,MORENA,PRI,MORENA,MORENA,MORENA,MORENA
,,,,,,,,
,,MORENA,,MORENA,PVEM,,,
,,MORENA,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Ns/Nc,,,,,,
,,,,,,,,
,,PAN,,PVEM,,,,
,,,MORENA,,MORENA,MORENA,MORENA,
,,,,,,,,
,,,,,PVEM,MORENA,,
,,,,,,,MORENA,
,,MORENA,MORENA,,,,,
,,,,,,,,
,,PT,,,,,,
,,MORENA,,,,,,
,,,,PVEM,,,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,MORENA,MORENA,
MORENA,,,,,,MORENA,,
MORENA,,MORENA,,,,,MORENA,MORENA
,,Ns/Nc,,,,,,
,,,,,,,,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
,PVEM,,,,,,,
,,,,,PVEM,,MORENA,
,,,,,,,PRI,
MORENA,,MORENA,,,MORENA,MORENA,MORENA,MORENA
,,,,,,,PRD,
,,MORENA,,,,MORENA,MORENA,
,,,,,,,,
,,Ns/Nc,,,,,,
,,,,,,,,
PVEM,,,Ns/Nc,,,,PVEM,
,,MORENA,,,Ns/Nc,,PRI,
PRI,,MORENA,,PVEM,,MORENA,PVEM,
,,,,Ns/Nc,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,MORENA,
,,MORENA,,,,,,
,,MORENA,,,,MORENA,MORENA,
,,MORENA,,,,,,
MORENA,PVEM,MORENA,MORENA,PVEM,MORENA,MORENA,MORENA,MORENA
PRI,,,,,,MORENA,,MORENA
,,,,,,,,
,,MORENA,,PVEM,PVEM,,,
,,,,,,,,
,,PAN,,PRI,,,,
MORENA,,MORENA,MORENA,PVEM,PVEM,MORENA,MORENA,MORENA
,,,,,,,,
,,MORENA,,PRI,PRI,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
MORENA,,MORENA,MORENA,,PVEM,MORENA,,
,,,,,,,,
,,MORENA,,,,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,MORENA,MORENA,
,,,,PVEM,PVEM,MORENA,MORENA,
,,,,,PRI,,,
,,,,,,,,
,,,,PVEM,,,,
,,,,,,,,
MORENA,,,,,,MORENA,MORENA,MORENA
PRI,,PRD,,,,MORENA,MORENA,
,,,,PT,MORENA,,MORENA,
PVEM,,PRD,PRI,,PRD,,,PRI
,,,,,,,,
,,,,PVEM,,,,
,,MORENA,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,PVEM,PRI,,MORENA,
,,,,,,,Ns/Nc,
,,,,Ns/Nc,,,,
,,,,,,,,
,,,,PVEM,,MORENA,,
,,,,,,,,
,,,,,,,PRI,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
PRI,,,,,,,,
,,,,,,,,
,,,,,,,,
PVEM,,PT,,PVEM,PRI,MORENA,PRD,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,PVEM,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,PRI,PRI,
,,,,,,,,
,,,,,,,PAN,
,,,,,Ns/Nc,,,
MORENA,PRI,MORENA,,PES,PVEM,MORENA,Ns/Nc,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,Ns/Nc,,,,
,,,,,,,,
,,,,,,,PRI,
,,,,,,,,
PRD,PVEM,,MORENA,PVEM,,MORENA,,PRD
,,,,,,,,
,PRI,,Ns/Nc,PVEM,,,PAN,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,PRD,,,PVEM,,PRD,
,,,,,,,,
MC,,,,,PVEM,,,
,,,,,,,,
,,,,,,,,
,PVEM,,Chiapas Unido,PRI,PVEM,,PRI,MORENA
,,,,,,,,
,PVEM,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,MORENA,
MORENA,,MORENA,,PVEM,PVEM,,PRI,
,,,,,,,,
,,MORENA,,,,,,PVEM
,,,,,,,,
MORENA,,MORENA,PRD,,PVEM,MORENA,MORENA,MORENA
MORENA,MORENA,,,,,MORENA,PRI,MORENA
,,,,,,,,
,,,,,,,,
MORENA,PVEM,Ns/Nc,,PVEM,MORENA,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,MORENA,MORENA,MORENA
,,,,,,,,
,PRI,,,,PRI,MORENA,PRI,
,PVEM,,,MORENA,PVEM,MORENA,MORENA,MORENA
,PVEM,,,,Ns/Nc,MORENA,,
MORENA,PVEM,,MORENA,,PVEM,,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,,,,,,,MORENA,MORENA
MORENA,PRI,,,,PVEM,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,PRI,,,MORENA,PRI,MORENA,MORENA,PRD
,,,,,,,,
,,,,,,,,
,,,,,,,,MORENA
,,,,,,,,
,,,,,PVEM,,,
,,,,,,MORENA,,
,,,,,,,,
,,,,,PVEM,MORENA,,
,,,,,,,,
,PVEM,,,,PVEM,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,MORENA,,PVEM,,MORENA,
,,MORENA,,,MORENA,,,
,PRI,,,,,,PRI,
,,,,,,,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,,MORENA,PVEM,MORENA,PVEM,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,PVEM,,,,
,,,,,,,,
,,,,,,,,
PRI,,,,,,,,
,,,,,,,,
,,,,PVEM,,MORENA,,
,,,,,,,,
MORENA,PRI,MORENA,MORENA,MORENA,MORENA,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PVEM,,,,PRI,PVEM,MORENA,MORENA,PRI
,,,,,,,,
,,,,,,,,
MORENA,PVEM,,,,,MORENA,MORENA,
,,,,,,,,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,MORENA,,
,,,,,,,PRI,
,,,,,,,,
,,,,,PVEM,MORENA,MORENA,PAN
PVEM,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,PRI,,
,,,,,,,MORENA,
,,,,,PVEM,,,
,,,,,,,,
MORENA,,,,,MORENA,MORENA,MORENA,MORENA
,,,,,,,,
,,PVEM,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,PAN,
,,Chiapas Unido,,,,,PRD,
,,,,,,,,
,,,,,,,,
MORENA,,,,,MORENA,,PRI,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,MORENA,,
,,,,,,,,
,,,,,,,PRI,
,,,,,,MORENA,,
,,,,,,MORENA,MORENA,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
,,,,,,,PAN,
,,,,,,,,
,,,,,,,,
MORENA,,,,,MORENA,MORENA,MORENA,MORENA
,,,,,,,PRI,PRI
,,,,,,,,
,,,,,,MORENA,MORENA,
,,,,,,MORENA,MORENA,
,,,,,,MORENA,MORENA,
,,,,,PVEM,MORENA,MORENA,
,,,,,,,,
MORENA,MORENA,,MORENA,MORENA,MORENA,MORENA,MORENA,MORENA
,,,,,PRD,,,
,,PVEM,,,,,,
MORENA,PRI,MORENA,,,PRI,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,MORENA,
,,,,,,,,
,,,PVEM,,PVEM,,Ns/Nc,
,,,,,,Ns/Nc,Ns/Nc,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Ns/Nc,,,,Ns/Nc,,
,,,,,,,PRI,
,,,,,,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,PRI,MORENA,MORENA,
,PVEM,,,MORENA,PVEM,MORENA,PRD,MORENA
,,,,,,,,
,,,,,,MORENA,MORENA,
,,,,,,,PRI,
,,,,,,,,
,,,,,,,,
MORENA,,MORENA,,,MORENA,,MORENA,PT
,,,,,,,,
PVEM,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,PRD,,,
,,,,,,,MORENA,
MORENA,,PVEM,,MORENA,PVEM,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,MORENA,MORENA,MORENA,PRI
,PRI,,,,PVEM,MORENA,MORENA,
,,,,,,,,
,,,,,PAN,,,
,,,,,,MORENA,MORENA,
,,,,,,,PRI,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,MORENA,
,,,,,,,,
,,,,,PVEM,,PRD,
,,,,,,,PRI,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,PRI,
,,,,,,MORENA,MORENA,
,,,,,,,,
,,,,,,,MORENA,
,,,,,PVEM,PRD,PRI,PRD
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PVEM,PVEM,,PVEM,MORENA,PVEM,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PRI,,,,,PAN,MORENA,MORENA,PRD
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,,
,,,,,,,,
,,PRI,,,,,,
,,PT,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Ns/Nc,,Ns/Nc,,,,,PRD,
,,,,,,,,
,,,,,Ns/Nc,,,
,,,,,,,,
,,,,,,MORENA,PRI,
,,,,,,,,
MORENA,,,,MORENA,PRI,,PAN,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,PRI,,,,MORENA,MORENA,MORENA,PRI
,,Ns/Nc,,PAN,,,MORENA,
,,,,,,,,
,,Ns/Nc,,,Ns/Nc,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,,PRI,,,MORENA,,,
,,MORENA,,,,,,
,,,,,,,PRI,
PVEM,,,,,,,PAN,
MORENA,,MORENA,PVEM,PVEM,MORENA,MORENA,MORENA,
,,,,,PRI,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,PVEM,MORENA,PVEM,PVEM,PVEM,MORENA,MORENA,MORENA
,,,,,,,,
MORENA,,,,PVEM,MORENA,MORENA,PVEM,
,,,,,,,MORENA,
,,,,,,,,
MORENA,PVEM,,,,MORENA,MORENA,PRD,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,PRI,MORENA,,PVEM,PVEM,,,
,,,,,,,,
,,,,,,,,
,,,,PAN,,,,
,,,,,,,,
,,,,,,,,
,,,,,Ns/Nc,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,PVEM,,,
,,,,,,,,
,,,,PVEM,PVEM,,,
,,,,,,,,
,,,,,RSP,MORENA,PRI,
,,,,,,PVEM,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,MORENA,
,PVEM,,,,MORENA,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,PRI,,,MORENA,MORENA,MORENA,MORENA,
,,,,,,,PRI,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,PVEM,,,,MORENA,,
,,,,,,,,
MORENA,PVEM,MORENA,,MORENA,PVEM,MORENA,MORENA,MORENA
,,,,,PVEM,,,PVEM
,,,,,,MORENA,,MORENA
,,,,,,,,
,,,,,MORENA,MORENA,MORENA,MORENA
,,,,,PVEM,MORENA,MORENA,MORENA
,,,,MORENA,,,,
MORENA,PVEM,,PVEM,MORENA,PVEM,MORENA,MORENA,MORENA
,,,,MORENA,,,,
,,,,,,,,
PRI,,,,,,PAN,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,MORENA,MORENA
,,,,,PVEM,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,MORENA,
,,,,,,MORENA,MORENA,
MORENA,PRI,PVEM,MORENA,MORENA,PVEM,MORENA,PRD,PRD
,PRI,,,,PRI,,PRI,
,,,,,,,PRD,
PRI,PRI,,,PRI,PRI,,MORENA,
MORENA,PVEM,,,,MORENA,MORENA,Ns/Nc,MORENA
,,,,,,,,
,,,,,,MORENA,MORENA,PRD
,PRI,,,,PRI,MORENA,PRI,
,,,,,,MORENA,Ns/Nc,
,,,,,,,,
MORENA,PRI,,,Ns/Nc,PVEM,MORENA,MORENA,MORENA
,,,,,,,,
,MORENA,,,,PVEM,,,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,,,,,,MORENA,PRD,PRI
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,PRI,,,,,MORENA,MORENA,
,,,,,PRI,,PRI,
,PRI,,,,Ns/Nc,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,PRI,,,,,MORENA,MORENA,PRD
,,,,,,,,
,,,,,,,,
MORENA,,,,,MORENA,MORENA,MORENA,MORENA
,,,,,,,,
,PVEM,,,PVEM,PVEM,MORENA,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MC,,
,,,,,PVEM,,,
,,,,,,Ns/Nc,Ns/Nc,
,PVEM,,,,PVEM,MORENA,PVEM,
,,,MORENA,,,,,
,,,,,,,,
,,Ns/Nc,,,,MC,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PRI,,,,,,,,
MORENA,,,,,,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PRI,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
PRI,,,,,PRI,,MORENA,
,,,,,,MORENA,,PRI
,,,,,,,,
MORENA,,,,,PRI,MORENA,MORENA,PRI
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,MORENA,
,,,,,,,,
,,,,,,,,
MORENA,MORENA,MORENA,MORENA,MORENA,MORENA,MORENA,MORENA,MORENA
,,,,,,,,
,,PRI,,,PVEM,,,
,,,,,,MORENA,MORENA,
,,,,,,,,
,,MORENA,,,Ns/Nc,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,,
,,,,,PVEM,,,
,,,,,,,,
,,MORENA,MORENA,,PVEM,,,
,,,,,,,,
MORENA,,,,,,MORENA,MORENA,MORENA
,PVEM,MORENA,,MORENA,PVEM,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,,MORENA,MORENA,MORENA,MORENA,,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,MORENA,MORENA,PRI,,MORENA,MORENA,MORENA,PRD
,,,,,MORENA,MORENA,,
,,,,,,,,
,,,,,PVEM,PRI,,
,,,,,,,Ns/Nc,Ns/Nc
,,PAN,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,PRI,,,
MORENA,,MORENA,,,MORENA,MORENA,MORENA,
Ns/Nc,,MORENA,PVEM,Ns/Nc,PVEM,,MORENA,Ns/Nc
,,,,,PRI,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
,,,PRI,,PVEM,,PRI,
,,,,,,,PRI,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,MORENA,,,,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,PT,,,,,,
,,,,,,,,
,,,,,,MORENA,,
MORENA,PVEM,MORENA,MORENA,MORENA,MORENA,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,,,,PVEM,,,
,,,,,,MORENA,,
MORENA,PRI,,,MORENA,,MORENA,MORENA,
,,,,,,,,
,,,,PRI,,,,
,PVEM,,,,,,PRI,
,,,,,,,,
,,,,,,,,
,PVEM,,,,,,MORENA,
,,MORENA,,,,MORENA,,
,,,,,PES,MORENA,MORENA,MORENA
,PVEM,,,,,,,
,,,,Ns/Nc,,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,,
,,,,,,,,
,PVEM,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,MORENA,,,,MORENA,MORENA,MORENA,
,,,,,,,PRI,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,PRI,,,,,,MORENA,
,,,,,,,,
,,MORENA,,,,,,
,MORENA,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,MORENA,MORENA,MORENA,Ns/Nc
,,,,,,,,
,,,,,,,,
PRI,,,,,Ns/Nc,Ns/Nc,MORENA,
,,,,,MORENA,,,
PRI,PRI,,,PVEM,PVEM,MORENA,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,PRI,,,,PRI,MORENA,PRD,
,PRI,,,,MORENA,,,
MORENA,PRI,,,,MORENA,MORENA,MORENA,MORENA
,PVEM,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,PRI,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,Ns/Nc,
,,,,,,,MORENA,
PRI,,,,PRD,PRI,MORENA,PRD,PRI
,,,,,,,,
,MORENA,,,,MORENA,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,MORENA,
MORENA,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,MORENA,,,
,,,PVEM,,MORENA,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,PRD,,MORENA,PVEM,,MORENA,
,,,,,,MORENA,,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,PVEM,MORENA,MORENA,,PVEM,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,PVEM,,,,
,,,,,,,,
,,,,,PRI,,PRI,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Chiapas Unido,,,,,
,,,,,,,MORENA,MORENA
,,,,,MORENA,,,
MORENA,,PRD,MORENA,PES,MORENA,MORENA,MORENA,
,,PRI,,,,MORENA,PRD,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,MORENA,
,,,,,,MORENA,MORENA,
,,,,,,,,
,,,,,Ns/Nc,,,
,,,,,,MORENA,,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,MORENA,,,
MORENA,PRI,PVEM,PRI,MORENA,MORENA,PVEM,MORENA,PAN
,,,,,,,MORENA,
MORENA,,,,,,,MORENA,
,,,,,,,PRI,
,,,,,,,,
,,,,,,,,
