SbjNum,Razón
157372563,Dos personas  hicieron la entrevista
157352683,No vive en ese domicilio
157374101,Innaudible
157386231,No confirmó el filtro
157385982,No confirmó el filtro
157392361,Demasiadas fallas
157392260,Se salta preguntas
157404171,Se salta preguntas
157404587,Se salta preguntas
157405040,Demasiadas fallas
157398249,Dos personas  hicieron la entrevista
157405829,Se salta preguntas
157402923,Se salta preguntas
157405067,Demasiadas fallas
157398249,Inventada
157402935,Se salta preguntas
157394714,Se dio de baja al encuestador por incumplir las reglas
157394715,Se dio de baja al encuestador por incumplir las reglas
157394716,Se dio de baja al encuestador por incumplir las reglas
157394717,Se dio de baja al encuestador por incumplir las reglas
157394718,Se dio de baja al encuestador por incumplir las reglas
157394719,Se dio de baja al encuestador por incumplir las reglas
157395407,Se dio de baja al encuestador por incumplir las reglas